fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
7.4;0.7;0.0;1.9;0.076;11;34;0.9978;3.51;0.56;9.4
7.8;0.88;0.0;2.6;0.098;25;67;0.9968;3.2;0.68;9.8
7.8;0.76;0.04;2.3;0.092;15;54;0.9973;3.26;0.65;9.8
11.2;0.28;0.56;1.9;0.075;17;60;0.9983;3.16;0.58;9.8
7.4;0.7;0.01;1.8;0.08;13;40;0.997;3.4;0.6;9.5
7.9;0.6;0.02;2.2;0.082;14;45;0.9965;3.35;0.62;10.0
6.7;0.65;0.03;2.1;0.079;16;50;0.9972;3.3;0.61;10.2
8.1;0.55;0.3;2.0;0.078;18;55;0.9976;3.25;0.63;10.5
6.9;0.62;0.25;2.5;0.081;15;52;0.9974;3.28;0.59;9.7
7.5;0.68;0.22;2.8;0.083;20;58;0.9971;3.32;0.64;9.9
6.2;0.58;0.21;1.7;0.077;11;42;0.9969;3.31;0.57;10.1
6.8;0.54;0.2;1.6;0.074;12;44;0.9968;3.29;0.58;10.3
7.0;0.6;0.19;1.9;0.076;14;47;0.997;3.34;0.6;9.6
8.3;0.5;0.18;2.4;0.079;15;53;0.9975;3.37;0.62;10.0
7.6;0.66;0.24;2.2;0.082;17;56;0.9972;3.35;0.61;10.2
6.9;0.7;0.23;2.3;0.08;13;48;0.9971;3.36;0.59;9.8
7.1;0.64;0.22;2.1;0.081;14;50;0.9973;3.33;0.58;9.7
7.8;0.59;0.2;2.5;0.079;16;52;0.9974;3.31;0.6;10.1
6.5;0.61;0.18;2.6;0.078;15;54;0.9975;3.3;0.61;9.9
8.0;0.63;0.19;2.7;0.077;18;55;0.9976;3.32;0.62;10.0
